f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.34862134,0.85805416,-7.208417e-07,0.40726173,0.6804856,-0.022217758,0.42345512,0.45436254,-0.020222224,0.41142327,0.31447363,-0.013965076,0.4143486,0.20224884,0.006403553,0.32235473,0.34284857,-0.014713847,0.3433385,0.25177774,-0.04757432,0.37108925,0.405218,-0.05496795,0.342028,0.420982,-0.06102285,0.24596837,0.42275855,-0.017961897,0.2863388,0.33018035,-0.06325911,0.3340614,0.4862389,-0.07614525,0.30262762,0.48501617,-0.081219874,0.20364493,0.51855385,-0.024117088,0.22822648,0.43347842,-0.06524715,0.29033953,0.55523884,-0.04591105,0.26297247,0.5676397,-0.029566154,0.16749291,0.6049862,-0.031863123,0.1942186,0.56418025,-0.05505432,0.25026476,0.6253248,-0.037206523,0.23270309,0.63134587,-0.020949878,0
0.3488955,0.8583546,-6.903243e-07,0.40722382,0.67975974,-0.023724763,0.42352664,0.45667815,-0.02380319,0.41184282,0.31673104,-0.019497866,0.41466367,0.2026707,-0.000862181,0.32254863,0.34494194,-0.015923724,0.34295824,0.25187352,-0.049900588,0.37121576,0.40737376,-0.058252666,0.3394397,0.4208179,-0.0654295,0.24650566,0.42293465,-0.019344734,0.2875263,0.32566908,-0.06645216,0.3358162,0.48343393,-0.08042168,0.30340433,0.48227593,-0.08620172,0.20476504,0.5187021,-0.02576111,0.22855431,0.4304209,-0.06766132,0.29119498,0.5532143,-0.047190618,0.26296657,0.5660461,-0.030183349,0.16897696,0.60536295,-0.034009162,0.19510236,0.56655645,-0.057838134,0.2508691,0.62731665,-0.0395946,0.23225906,0.6316482,-0.023137843,0
0.3462294,0.86211973,-7.2184633e-07,0.40693492,0.6768832,-0.0230809,0.42347077,0.45728314,-0.02042591,0.4122693,0.31614208,-0.012735179,0.41506428,0.20186561,0.009692396,0.3213836,0.34380257,-0.013323246,0.34267205,0.25147903,-0.045705363,0.3703165,0.40622732,-0.054001816,0.33875734,0.41999418,-0.0611401,0.24576092,0.4228809,-0.016186638,0.2880729,0.3270328,-0.06163125,0.3354398,0.48287916,-0.077183105,0.302248,0.48264813,-0.08471483,0.20445071,0.5189419,-0.021793772,0.22953434,0.43053398,-0.062440224,0.29163447,0.55270106,-0.043285828,0.26244882,0.56753916,-0.027433561,0.17024817,0.60663676,-0.029123938,0.19467995,0.5631627,-0.05126598,0.25144887,0.6231274,-0.032065075,0.23251769,0.631371,-0.015113408,0
0.34818158,0.860175,-6.9680567e-07,0.4069206,0.6778633,-0.022936778,0.4235087,0.45529693,-0.020631397,0.41201186,0.31526315,-0.013446936,0.41461536,0.20167625,0.008286984,0.32221287,0.34270507,-0.014862633,0.34262395,0.2502805,-0.04676355,0.37093934,0.4042941,-0.053655334,0.34105688,0.4195883,-0.05966477,0.24523202,0.42138353,-0.01739307,0.2863306,0.32678366,-0.06261576,0.33449292,0.48308218,-0.07690158,0.3022329,0.4813362,-0.08339691,0.20328623,0.5174147,-0.02251441,0.22857614,0.4318482,-0.063041925,0.29088888,0.5533717,-0.043503255,0.26251903,0.5654713,-0.027490467,0.1676927,0.60416245,-0.029262805,0.19384162,0.56457347,-0.051939767,0.25086793,0.62486994,-0.033381913,0.23265862,0.6300002,-0.016856687,0
0.35013956,0.853681,-7.0456406e-07,0.40847462,0.67776895,-0.023217492,0.42218018,0.45382562,-0.022319363,0.40987197,0.31490988,-0.017366016,0.41311836,0.20166463,0.0014936306,0.32282737,0.34074855,-0.013243252,0.3408974,0.24771291,-0.04760909,0.36964363,0.4009035,-0.05684748,0.34065583,0.4170773,-0.06388239,0.24800569,0.4198941,-0.01652368,0.28587806,0.32396048,-0.06172092,0.3347938,0.4803806,-0.07456222,0.30269063,0.47936657,-0.07929897,0.20541322,0.51584584,-0.023265453,0.2277614,0.4297203,-0.06536017,0.29077953,0.5515896,-0.046001125,0.26356626,0.5625201,-0.029064227,0.16860396,0.6026279,-0.031592365,0.19242325,0.5587644,-0.055467512,0.24929905,0.6207701,-0.036793888,0.23311326,0.62792724,-0.019575369,0
0.35126367,0.851328,-7.2347456e-07,0.40896183,0.6789987,-0.02436668,0.42277718,0.45272237,-0.024052769,0.4095118,0.3127687,-0.019424647,0.41229194,0.19998622,-0.0010135422,0.32244483,0.33871365,-0.014756223,0.3401193,0.24624753,-0.04951434,0.3686622,0.40058193,-0.05943172,0.33875096,0.41459775,-0.06697077,0.24807617,0.4207446,-0.0173604,0.28489715,0.3234074,-0.062241033,0.33395678,0.4803367,-0.07468655,0.30153513,0.4792674,-0.07923926,0.20583671,0.5174551,-0.023579465,0.22660236,0.42848808,-0.06552882,0.29002544,0.55071086,-0.046195053,0.26309952,0.56228095,-0.029260764,0.16908236,0.6035178,-0.03146841,0.19141842,0.55554205,-0.054735746,0.24764055,0.6184722,-0.035888303,0.23168045,0.6272103,-0.018706886,0
0.3506439,0.85129166,-7.2640177e-07,0.4091201,0.67481077,-0.023799177,0.42275965,0.44832414,-0.023349747,0.41037694,0.30894276,-0.018968416,0.41241047,0.19667256,-0.0011219229,0.3188742,0.33732432,-0.012673175,0.3410017,0.24587867,-0.04794015,0.36923373,0.39810923,-0.059111904,0.3379877,0.4123069,-0.067485936,0.24621639,0.41819036,-0.01605352,0.28669235,0.3228756,-0.060750887,0.33507803,0.47823063,-0.07381186,0.3015387,0.47795582,-0.078767516,0.20513266,0.51524943,-0.023273295,0.22850463,0.4271416,-0.06565377,0.29110122,0.5482756,-0.047419082,0.26294,0.55990916,-0.031068403,0.16987677,0.60270065,-0.032153342,0.19411367,0.55548805,-0.056138743,0.2494236,0.6175701,-0.03820491,0.23258406,0.6260746,-0.02153619,0
0.35265234,0.84685314,-7.307527e-07,0.41002452,0.675732,-0.023961408,0.42410356,0.44812077,-0.02439117,0.4102509,0.30893958,-0.020991333,0.4121333,0.1974552,-0.0043685967,0.32074314,0.33712396,-0.014004886,0.3431704,0.24384585,-0.049850043,0.3707776,0.39694944,-0.06075385,0.3398555,0.41144085,-0.068929315,0.24947484,0.41613722,-0.01796345,0.28953034,0.3200971,-0.062635124,0.3373797,0.4773749,-0.07408362,0.3043957,0.47631896,-0.07785566,0.20795941,0.5120914,-0.025935454,0.2303532,0.42388433,-0.06878308,0.29276183,0.5478213,-0.048887737,0.26592457,0.5583507,-0.03134755,0.17133799,0.6008209,-0.035568643,0.19380096,0.55306697,-0.059940215,0.2500665,0.6162477,-0.04105449,0.2354919,0.62355775,-0.023663858,0
0.3533545,0.85065377,-7.49898e-07,0.41275674,0.6687832,-0.022150273,0.42520207,0.44266254,-0.019414892,0.41250625,0.30583966,-0.012578035,0.4144086,0.19516861,0.008203415,0.32267854,0.33367285,-0.010406735,0.3458362,0.24355957,-0.04508881,0.37260693,0.396831,-0.05628674,0.3411606,0.4110996,-0.06476743,0.24965943,0.41363275,-0.014557773,0.29221183,0.3199662,-0.05793235,0.3384121,0.4763139,-0.071317576,0.3045442,0.47582242,-0.07698269,0.20734549,0.5099133,-0.022523379,0.23245245,0.4225137,-0.063587636,0.29328173,0.5456091,-0.045676775,0.26381594,0.5576407,-0.030079147,0.171448,0.5976688,-0.032130655,0.19631588,0.5510296,-0.05512193,0.2513813,0.61475086,-0.036660615,0.23287237,0.62503594,-0.019824928,0
0.3534326,0.84665453,-7.3567657e-07,0.4119271,0.67482316,-0.023783581,0.42539096,0.4471758,-0.023554113,0.4124378,0.30851856,-0.019662807,0.41552502,0.19741532,-0.0024444791,0.32393214,0.33571905,-0.012920126,0.34518617,0.24347055,-0.04864623,0.37309977,0.39533287,-0.059166685,0.34376517,0.41143036,-0.066751465,0.25201517,0.41361985,-0.017105129,0.29217252,0.32062018,-0.061996654,0.33943594,0.4769,-0.07357328,0.30676037,0.4766128,-0.077058256,0.20944072,0.5087354,-0.025426988,0.23352823,0.4242565,-0.06891426,0.29484004,0.5479632,-0.05017784,0.26708838,0.5589912,-0.03293948,0.17244671,0.5974206,-0.035387516,0.1974147,0.5501225,-0.060425594,0.25269228,0.61470926,-0.0421533,0.2360804,0.6247769,-0.024789283,0
0.35419315,0.8473907,-7.3772173e-07,0.4130375,0.67130804,-0.022017943,0.42652395,0.44496512,-0.020924756,0.4135323,0.30806708,-0.016077017,0.41591927,0.1976549,0.002422717,0.32463363,0.3356512,-0.013706892,0.34758717,0.24318439,-0.049020268,0.37471205,0.39685243,-0.058791418,0.344207,0.41174108,-0.066107556,0.25119385,0.41506332,-0.018410573,0.2937369,0.31764555,-0.063891344,0.34008294,0.47536802,-0.07614593,0.3067035,0.4754072,-0.080180965,0.20888785,0.5105028,-0.02669948,0.23382454,0.42201537,-0.06963198,0.29519916,0.5455657,-0.050801806,0.26688486,0.5569476,-0.033897452,0.17274079,0.5968698,-0.036463004,0.19866353,0.54969454,-0.061118834,0.25393242,0.61368454,-0.042992715,0.23648196,0.6226133,-0.025958423,0
0.3524983,0.84945035,-7.4357513e-07,0.41256547,0.66704786,-0.02172557,0.42702278,0.4425997,-0.020156454,0.41524988,0.30641586,-0.014880388,0.41744417,0.19602591,0.004159513,0.32352403,0.33074066,-0.011279224,0.34923655,0.24309272,-0.04574358,0.37623626,0.3958932,-0.05595955,0.34492528,0.41085958,-0.06388841,0.24935886,0.40848714,-0.016157415,0.2962177,0.31954628,-0.060426854,0.3423002,0.47670949,-0.07362351,0.30797344,0.47555873,-0.0788785,0.20783557,0.5045912,-0.02461381,0.23775949,0.42291012,-0.066620745,0.2980655,0.5463618,-0.048559256,0.2677198,0.5586842,-0.032597512,0.1733863,0.59276813,-0.034672916,0.20237286,0.5517257,-0.059275024,0.25682333,0.61515504,-0.041825823,0.23716009,0.6236125,-0.025347006,0
0.35368,0.8455664,-7.2356187e-07,0.41255155,0.6673151,-0.02413409,0.4267105,0.4422393,-0.02418284,0.41449884,0.30538604,-0.019987209,0.41592467,0.19388613,-0.002120908,0.32225478,0.33085948,-0.016098518,0.34947824,0.24331734,-0.05077652,0.3769412,0.39385703,-0.05997237,0.34578544,0.4092868,-0.06684004,0.24892227,0.40922555,-0.019934254,0.29685175,0.32191637,-0.06438865,0.3430304,0.47653094,-0.07665602,0.30784887,0.47536963,-0.08121622,0.20750889,0.5058736,-0.027317228,0.23876673,0.4253938,-0.07030159,0.2992427,0.5464432,-0.052497357,0.26864466,0.5576938,-0.036410477,0.17268513,0.59437364,-0.03627579,0.20287251,0.5490446,-0.06165836,0.2577414,0.61191267,-0.044139296,0.23844573,0.62279826,-0.027407812,0
0.35172957,0.84820175,-7.307526e-07,0.41350392,0.66013014,-0.020123677,0.42773315,0.43686077,-0.017901685,0.41554523,0.3038879,-0.01208148,0.41736472,0.19391418,0.007458981,0.32242042,0.32671383,-0.010753018,0.35212523,0.2412884,-0.0444452,0.37895146,0.39404026,-0.054211088,0.34795827,0.41001293,-0.062078714,0.24652496,0.40264243,-0.016370606,0.29982764,0.31783563,-0.060194876,0.3444987,0.47455156,-0.07398079,0.3098736,0.47409612,-0.07987905,0.20456743,0.4990466,-0.025180923,0.2424738,0.4230913,-0.066355154,0.3010706,0.5448192,-0.049059,0.26899397,0.5576665,-0.033900585,0.1710532,0.5878052,-0.03545386,0.20603544,0.5496129,-0.059901163,0.26056376,0.61241996,-0.04282587,0.2392974,0.621897,-0.026567668,0
0.35158834,0.8500028,-7.278835e-07,0.41407216,0.6540475,-0.01959727,0.4266038,0.43531573,-0.016256243,0.41472507,0.3007196,-0.009027928,0.4151976,0.19030711,0.012217929,0.31925374,0.32552642,-0.010556579,0.3508302,0.23968261,-0.04350582,0.37844315,0.39016443,-0.053068172,0.34734648,0.40879497,-0.06062253,0.24474332,0.40149176,-0.016018935,0.29968318,0.3188275,-0.05901975,0.3450551,0.47285664,-0.07356062,0.30973405,0.47345778,-0.08044692,0.20398879,0.49911323,-0.024360333,0.24272905,0.42332286,-0.06491069,0.3013848,0.54231495,-0.04837872,0.26786813,0.55610865,-0.03398261,0.17213722,0.5900773,-0.034053676,0.20732419,0.55055714,-0.057906687,0.26196158,0.610289,-0.04053621,0.23941112,0.62185884,-0.024161464,0
0.35260376,0.84541106,-7.5098615e-07,0.41402838,0.6528408,-0.020597514,0.42733866,0.434305,-0.018016133,0.41525987,0.29981893,-0.011417762,0.41552982,0.1895844,0.009372897,0.3200955,0.32148597,-0.012321123,0.35110432,0.23696744,-0.045840275,0.37887055,0.38875926,-0.055250574,0.34799105,0.4078824,-0.06275121,0.24610649,0.3961429,-0.017884163,0.30129257,0.31765574,-0.061129354,0.34623164,0.47260436,-0.07508088,0.3106168,0.47192562,-0.08171533,0.20536533,0.4941349,-0.02650738,0.24430041,0.4218553,-0.067650035,0.30217642,0.5418793,-0.05069449,0.26814294,0.5545182,-0.036070883,0.1736537,0.586747,-0.03663903,0.20894575,0.5494254,-0.06141481,0.2631713,0.6098708,-0.04431026,0.23989415,0.62119216,-0.028084071,0
